  Fri Jun 19 10:18:41 2009  for program FOCMEC
 Event 8703270729 4 errors max
 Input from a file 8703270729.dat
 8703270729305935N3376 84W1384 1954   31 42 12  24
 Polarities/Errors:  P 037/04  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend are     0.00    5.00  355.00
 The limits for the B axis plunge are     0.00    5.00   90.00
 The limits for the angle of the A axis are     0.00    5.00   85.00
    Dip   Strike   Rake    Pol: P     SV    SH
   90.00  274.91   50.00        4.0   0.0   0.0
   82.36  274.99   49.57        4.0   0.0   0.0
   86.17  278.24   49.89        4.0   0.0   0.0
   78.56  278.23   49.02        4.0   0.0   0.0
   90.00  275.29   45.00        4.0   0.0   0.0
   86.47   98.83  -44.89        4.0   0.0   0.0
   86.47  271.75   44.89        4.0   0.0   0.0
   82.95  275.25   44.56        4.0   0.0   0.0
   86.47  278.81   44.89        4.0   0.0   0.0
   79.45  278.68   44.01        4.0   0.0   0.0
   90.00  273.91   40.00        4.0   0.0   0.0
   83.59  274.05   39.57        4.0   0.0   0.0
   80.42  277.97   39.03        4.0   0.0   0.0
