  Fri Jun 19 13:37:04 2009  for program FOCMEC
 Event 8703270729 2.0 relative errors
 Input from a file 8703270729.dat
 8703270729305935N3376 84W1384 1954   31 42 12  24
 Polarities/Errors:  P 037/ 2.0  SV 000/ 0.0  SH 000/ 0.0  Threshh. = 0.10
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend are     0.00    5.00  355.00
 The limits for the B axis plunge are     0.00    5.00   90.00
 The limits for the angle of the A axis are     0.00    5.00   85.00
    Dip   Strike   Rake    Pol: P     SV    SH
   90.00  265.85   65.00        1.9   0.0   0.0
   90.00  267.10   60.00        2.0   0.0   0.0
   85.67  264.59   59.91        2.0   0.0   0.0
   77.05  271.08   59.13        2.0   0.0   0.0
   81.35  273.67   59.62        2.0   0.0   0.0
   68.53  277.20   57.50        2.0   0.0   0.0
   64.34  280.03   56.31        2.0   0.0   0.0
   64.34  285.83   56.31        1.9   0.0   0.0
   77.76  271.94   54.06        1.9   0.0   0.0
   73.73  274.99   53.31        1.9   0.0   0.0
   65.82  274.56   51.04        2.0   0.0   0.0
   69.75  277.91   52.31        1.8   0.0   0.0
   82.36  268.44   49.57        2.0   0.0   0.0
   86.17  271.69   49.89        2.0   0.0   0.0
   78.56  271.68   49.02        1.8   0.0   0.0
   82.36  274.99   49.57        1.9   0.0   0.0
   71.11  271.31   47.21        1.9   0.0   0.0
   74.81  274.83   48.24        1.9   0.0   0.0
   78.56  278.23   49.02        1.9   0.0   0.0
   71.11  277.86   47.21        2.0   0.0   0.0
   82.95  268.19   44.56        1.9   0.0   0.0
   86.47  271.75   44.89        1.9   0.0   0.0
   79.45  271.62   44.01        1.9   0.0   0.0
   82.95  275.25   44.56        2.0   0.0   0.0
   72.61  271.16   42.19        1.9   0.0   0.0
   76.00  274.98   43.22        2.0   0.0   0.0
   74.24  269.91   37.25        2.0   0.0   0.0
