  Sun Jun 21 17:01:42 2009  for program FOCMEC
 Sakhalin: NEIC 190 stations 6.5 errors with relative weighting
 Input from a file focmec_neic.inp
  12-MAY-90 Sakhalin Island Event:  NEIC first motions (11-JUNE-90)
 Not including emergent polarity picks
 Polarities/Errors:  P 190/ 6.5  SV 000/ 0.0  SH 000/ 0.0  Threshh. = 0.10
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend are     0.00    5.00  355.00
 The limits for the B axis plunge are     0.00    5.00   90.00
 The limits for the angle of the A axis are     0.00    5.00   85.00
    Dip   Strike   Rake    Pol: P     SV    SH
   58.68  299.65   16.48        6.4   0.0   0.0
   56.36  296.89   10.27        6.5   0.0   0.0
   57.39  302.74   13.47        6.2   0.0   0.0
   55.61  299.71    6.93        6.5   0.0   0.0
   61.12  297.19    8.50        6.4   0.0   0.0
   60.13  295.77    2.88        6.5   0.0   0.0
   60.50  301.51    5.73        6.5   0.0   0.0
   60.00  300.00    0.00        6.4   0.0   0.0
   60.13  294.23   -2.88        6.5   0.0   0.0
   65.00  294.00    0.00        6.2   0.0   0.0
   65.10  299.51    2.33        6.4   0.0   0.0
   65.41  294.99   -4.63        6.5   0.0   0.0
   65.10  300.49   -2.33        6.3   0.0   0.0
